	Kingdom	Phylum	Class	Order	Family	Genus
ASV_300	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera
ASV_304	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_305	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_306	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Planctopirus
ASV_307	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Turneriella
ASV_308	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
ASV_309	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA
ASV_313	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA
ASV_314	Bacteria	NA	NA	NA	NA	NA
ASV_316	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA
ASV_32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_320	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_329	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group
ASV_330	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_332	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_335	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_344	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA
ASV_350	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_351	Bacteria	NA	NA	NA	NA	NA
ASV_356	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_362	Bacteria	NA	NA	NA	NA	NA
ASV_379	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_46	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
ASV_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas
ASV_53	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Candidatus Obscuribacter
ASV_55	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_56	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Chitinilyticum
ASV_6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	NA
ASV_60	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Chryseomicrobium
ASV_65	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_66	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola
ASV_67	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_68	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	NA	NA
ASV_69	Bacteria	NA	NA	NA	NA	NA
